The top 50 pages with Page rank

('WT21-B37-76', 0.002679406555697776)
('WT21-B37-75', 0.0015259150406240114)
('WT25-B39-116', 0.0014695008566415761)
('WT23-B21-53', 0.0013723306447224162)
('WT24-B40-171', 0.001245037455435199)
('WT23-B39-340', 0.0012404376426012088)
('WT23-B37-134', 0.001205220350581347)
('WT08-B18-400', 0.0011435400220208714)
('WT13-B06-284', 0.0011247741349883636)
('WT24-B26-46', 0.001085041322363737)
('WT13-B06-273', 0.001044694266918714)
('WT01-B18-225', 0.0009884429966041447)
('WT04-B27-720', 0.0009364003703297065)
('WT23-B19-156', 0.0008942255570186738)
('WT04-B30-12', 0.0008164385740695458)
('WT24-B26-10', 0.0008074582451490067)
('WT25-B15-307', 0.0008043817567310167)
('WT07-B18-256', 0.0007749131741404294)
('WT24-B26-2', 0.0007713399853808325)
('WT14-B03-220', 0.0007164129875484325)
('WT24-B40-167', 0.0007074856074409317)
('WT14-B03-227', 0.0006849894953687667)
('WT18-B31-240', 0.00066018402140117)
('WT04-B40-202', 0.0006586985643570302)
('WT08-B19-222', 0.0006434319590265164)
('WT27-B28-203', 0.0006270006193175062)
('WT13-B15-160', 0.000621296173061253)
('WT13-B39-295', 0.0006169589617678268)
('WT12-B30-56', 0.0006022922561334266)
('WT10-B02-288', 0.0005759939114843514)
('WT22-B38-403', 0.0005745694308895597)
('WT14-B36-337', 0.000558259348061988)
('WT27-B34-57', 0.0005554995535805216)
('WT23-B20-363', 0.000550860780561469)
('WT23-B01-40', 0.0005504176353075666)
('WT27-B32-30', 0.0005497702738060866)
('WT21-B40-37', 0.000548179164233168)
('WT21-B35-155', 0.0005400543113087934)
('WT08-B08-60', 0.0005356329758151967)
('WT04-B22-268', 0.0005327552470934913)
('WT14-B02-400', 0.0005325397871438818)
('WT18-B14-66', 0.0005320548803177679)
('WT23-B27-31', 0.000525612921446458)
('WT23-B38-120', 0.0005209061096467763)
('WT06-B35-151', 0.0005201023261148226)
('WT06-B14-69', 0.0005190692117730746)
('WT06-B35-161', 0.000518207599788448)
('WT10-B33-300', 0.0005168063540117948)
('WT14-B36-335', 0.0005154625870591281)
('WT14-B36-336', 0.0005154625870591281)
